ITEM: NUMBER OF WAVE-VECTORS (k)
97
ITEM: NUMBER OF TIME-STEPS (t)
2
ITEM: TIME-STEP (dt)
1.000000
ITEM: LONGITUDINAL VELOCITY CORRELATION FUNCTION: k, t=0, t=dt, t=2*dt, ...
0.10257308 0.00000000 0.08288206 
0.20514616 0.00000000 0.40751892 
0.30771924 0.00000000 -0.30235367 
0.41029233 0.00000000 0.28875757 
0.51286541 0.00000000 -1.07950675 
0.61543849 0.00000000 0.16092716 
0.71801157 0.00000000 0.24702195 
0.82058465 0.00000000 -0.71064223 
0.92315773 0.00000000 1.65708925 
1.02573081 0.00000000 0.44522984 
1.12830389 0.00000000 -0.09567965 
1.23087698 0.00000000 -0.18894995 
1.33345006 0.00000000 0.68994423 
1.43602314 0.00000000 0.88342134 
1.53859622 0.00000000 0.47089594 
1.64116930 0.00000000 -0.20030473 
1.74374238 0.00000000 -0.01237078 
1.84631546 0.00000000 0.01400899 
1.94888854 0.00000000 1.06125557 
2.05146163 0.00000000 -0.38390082 
2.15403471 0.00000000 2.23821423 
2.25660779 0.00000000 -0.16747069 
2.35918087 0.00000000 -1.15154305 
2.46175395 0.00000000 0.24481444 
2.56432703 0.00000000 -0.46881783 
2.66690011 0.00000000 -0.13569677 
2.76947320 0.00000000 -0.15686021 
2.87204628 0.00000000 0.26439202 
2.97461936 0.00000000 0.58880823 
3.07719244 0.00000000 -0.44574991 
3.17976552 0.00000000 0.12160874 
3.28233860 0.00000000 0.12316587 
3.38491168 0.00000000 -0.29700005 
3.48748476 0.00000000 0.07066257 
3.59005785 0.00000000 -0.12069404 
3.69263093 0.00000000 0.66515477 
3.79520401 0.00000000 0.05123787 
3.89777709 0.00000000 -1.31468816 
4.00035017 0.00000000 0.94175440 
4.10292325 0.00000000 0.02925365 
4.20549633 0.00000000 -0.14395551 
4.30806941 0.00000000 0.33314813 
4.41064250 0.00000000 0.71779755 
4.51321558 0.00000000 0.25422667 
4.61578866 0.00000000 0.21176185 
4.71836174 0.00000000 -0.02327657 
4.82093482 0.00000000 0.29810348 
4.92350790 0.00000000 -0.56694711 
5.02608098 0.00000000 -0.06376747 
5.12865407 0.00000000 -0.58398090 
5.23122715 0.00000000 0.10930664 
5.33380023 0.00000000 -0.05691352 
5.43637331 0.00000000 -0.06143401 
5.53894639 0.00000000 -0.00770670 
5.64151947 0.00000000 0.65735833 
5.74409255 0.00000000 -0.07605334 
5.84666563 0.00000000 -0.09479738 
5.94923872 0.00000000 -0.07827642 
6.05181180 0.00000000 0.58759847 
6.15438488 0.00000000 -0.21289543 
6.25695796 0.00000000 -0.62244491 
6.35953104 0.00000000 -0.28372911 
6.46210412 0.00000000 -0.29016097 
6.56467720 0.00000000 0.14293589 
6.66725029 0.00000000 0.04032857 
6.76982337 0.00000000 -0.18318364 
6.87239645 0.00000000 -0.00000685 
6.97496953 0.00000000 -0.41286737 
7.07754261 0.00000000 0.30276719 
7.18011569 0.00000000 -0.05837754 
7.28268877 0.00000000 0.42923853 
7.38526185 0.00000000 0.33224844 
7.48783494 0.00000000 -0.54770239 
7.59040802 0.00000000 -0.40117806 
7.69298110 0.00000000 0.25968776 
7.79555418 0.00000000 -0.23967301 
7.89812726 0.00000000 -0.44208482 
8.00070034 0.00000000 0.00941702 
8.10327342 0.00000000 0.91079426 
8.20584650 0.00000000 1.28472138 
8.30841959 0.00000000 -0.05270484 
8.41099267 0.00000000 -0.19112285 
8.51356575 0.00000000 0.86610741 
8.61613883 0.00000000 0.12341993 
8.71871191 0.00000000 0.06928200 
8.82128499 0.00000000 0.03497689 
8.92385807 0.00000000 0.16610635 
9.02643116 0.00000000 0.58229917 
9.12900424 0.00000000 0.59600565 
9.23157732 0.00000000 1.25612060 
9.33415040 0.00000000 -0.18802209 
9.43672348 0.00000000 0.57325167 
9.53929656 0.00000000 0.71639900 
9.64186964 0.00000000 0.05132852 
9.74444272 0.00000000 -0.14771940 
9.84701581 0.00000000 -0.20879307 
9.94958889 0.00000000 2.35405148 
